update_time,license,format,overall,groups,id
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",wertstoffhofe
0,1,1,2,,vornamen-von-neugeborenen-2015
0,1,1,2,,vornamen-von-neugeborenen-20141
0,1,1,2,,vornamen-von-neugeborenen-20131
0,1,0,1,"Geographie, Geologie und Geobasisdaten",verwaltungseinheiten-der-landeshauptstadt-munchen
0,1,1,2,,toilettenkabinen-an-der-isar
0,1,1,2,,privathaushalte-in-den-stadtbezirken
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",points-of-interest-an-der-sudlichen-isar
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Transport und Verkehr",parkhauser-munchen
0,1,1,2,"Kultur, Freizeit, Sport, Tourismus,Wirtschaft und Arbeit",oktoberfest
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Infrastruktur, Bauen und Wohnen",offentliche-toiletten-der-landeshauptstadt-munchen
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",offentliche-spielplatze-munchen
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",m-wlan-hotspots
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Kultur, Freizeit, Sport, Tourismus",mullsammelbehalter-an-der-isar
1,1,1,3,Umwelt und Klima,monatszahlen-witterung
1,1,1,3,Wirtschaft und Arbeit,monatszahlen-wirtschaft
1,1,1,3,Transport und Verkehr,monatszahlen-verkehrsunfalle
1,1,1,3,"Kultur, Freizeit, Sport, Tourismus",monatszahlen-tourismus
1,1,1,3,"Kultur, Freizeit, Sport, Tourismus",monatszahlen-theater
1,1,1,3,Soziales,monatszahlen-soziale-leistungen
0.5,1,1,2.5,"Kultur, Freizeit, Sport, Tourismus",monatszahlen-orchester
1,1,1,3,"Kultur, Freizeit, Sport, Tourismus",monatszahlen-museen
1,1,1,3,"Kultur, Freizeit, Sport, Tourismus",monatszahlen-kinos
1,1,1,3,Transport und Verkehr,monatszahlen-kfz-neuzulassungen
1,1,1,3,Transport und Verkehr,monatszahlen-kfz-bestand
1,1,1,3,Wirtschaft und Arbeit,monatszahlen-gewerbe
1,1,1,3,"Kultur, Freizeit, Sport, Tourismus",monatszahlen-freizeit
1,1,1,3,Transport und Verkehr,monatszahlen-flugverkehr
1,1,1,3,"Infrastruktur, Bauen und Wohnen",monatszahlen-feuerwehr-munchen
1,1,1,3,,monatszahlen-einburgerungen
1,1,1,3,Bevölkerung,monatszahlen-bevolkerung
1,1,1,3,"Infrastruktur, Bauen und Wohnen",monatszahlen-bauen
1,1,1,3,Wirtschaft und Arbeit,monatszahlen-arbeitsmarkt
0,1,1,2,"Geographie, Geologie und Geobasisdaten,Transport und Verkehr,Wirtschaft und Arbeit",markte-in-munchen
0,1,1,2,Politik und Wahlen,indikatorenatlas-wahlen-wahlbeteiligung
0,1,1,2,Transport und Verkehr,indikatorenatlas-verkehr-pkw-neuzulassungsanteil
0,1,1,2,Transport und Verkehr,indikatorenatlas-verkehr-personenwagendichte
0,1,1,2,Transport und Verkehr,indikatorenatlas-verkehr-motorisierungsgrad
0,1,1,2,Soziales,indikatorenatlas-kinderbetreuung-trager-der-einrichtung
0,1,1,2,Soziales,indikatorenatlas-kinderbetreuung-familiensprache-nicht-deutsch
0,1,1,2,Soziales,indikatorenatlas-kinderbetreuung-betreuungsangebot
0,1,1,2,Soziales,indikatorenatlas-kinderbetreuung-altersgruppen
0,1,1,2,Bildung und Wissenschaft,indikatorenatlas-grundschuler-innen-nationalitat
0,1,1,2,Bildung und Wissenschaft,indikatorenatlas-grundschuler-innen-familiensprache-nicht-deutsch
