update_time,license,format,overall,groups,id
0,1,0,1,Bevölkerung,stadtevergleich-bw-kennzahlen-statistisches-jahrbuch-2015
0,1,0,1,Bevölkerung,ulm-und-umland-kennzahlen-statistisches-jahrbuch-2015
0,1,0,1,"Politik und Wahlen,Öffentliche Verwaltung, Haushalt und Steuern",wahlergebnisse-gemeinderat-und-personalstand-stadtverwaltung-statistisches-jahrbuch-2015
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",steuern-und-finanzen-statistisches-jahrbuch-2015
0,1,0,1,Gesetze und Justiz,offentliche-sicherheit-kennzahlen-statistisches-jahrbuch-2015
0,1,0,1,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",kulturelle-einrichtungen-kennzahlen-statistisches-jahrbuch-2015
0,1,0,1,Bildung und Wissenschaft,schulwesen-schuler-studierende-statistisches-jahrbuch-2015
0,1,0,1,"Bevölkerung,Gesundheit",gesundheitskennzahlen-statistisches-jahrbuch-2015
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",sportkennzahlen-statistisches-jahrbuch-2015
0,1,0,1,"Bevölkerung,Soziales",sozialdaten-statistisches-jahrbuch-2015
0,1,0,1,Transport und Verkehr,verkehrsinformationen-statistisches-jahrbuch-2015
0,1,0,1,Wirtschaft und Arbeit,arbeitsmarktzahlen-statistisches-jahrbuch-2015
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus,Wirtschaft und Arbeit",gewerbliche-wirtschaft-statistisches-jahrbuch-2015
0,1,0,1,"Umwelt und Klima,Verbraucherschutz,Wirtschaft und Arbeit",landwirtschaftsdaten-statistisches-jahrbuch-2015
0,1,0,1,"Infrastruktur, Bauen und Wohnen",versorgung-und-entsorgung-statistisches-jahrbuch-2015
0,1,0,1,Wirtschaft und Arbeit,preise-und-preisindizes-statistisches-jahrbuch-2015
0,1,0,1,"Infrastruktur, Bauen und Wohnen",bau-und-wohnungswesen-statistisches-jahrbuch-2015
0,1,0,1,Bevölkerung,bevolkerungsdaten-statistisches-jahrbuch-2015
0,1,0,1,Umwelt und Klima,allgemeine-informationen-stadtgebiet-naturverhaltnisse-statistisches-jahrbuch-2015
0,1,0,1,Politik und Wahlen,2016-03-13-wahlergebnisse-landtagswahl-baden-wurttemberg-ulm-wahlkreis-64
0,1,0,1,"Bevölkerung,Gesundheit,Soziales",erstanlaufstellen-der-sozialraume-in-ulm
0,1,0,1,"Infrastruktur, Bauen und Wohnen",friedhofe-stadt-ulm
0,1,0,1,"Infrastruktur, Bauen und Wohnen",plakatierung-in-der-stadt-ulm-ausschlussgebiete-und-verbotszonen
0,1,0,1,Politik und Wahlen,oberburgermeister-wahl-2015-stadt-ulm
0,1,0,1,"Politik und Wahlen,Öffentliche Verwaltung, Haushalt und Steuern",wahlergebnisse-gemeinderat-und-personalstand-stadtverwaltung-statistisches-jahrbuch-2014
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus",sportkennzahlen-statistisches-jahrbuch-2014
0,1,0,1,"Bildung und Wissenschaft,Kultur, Freizeit, Sport, Tourismus",kulturelle-einrichtungen-kennzahlen-statistisches-jahrbuch-2014
0,1,0,1,Bevölkerung,bevolkerungsdaten-statistisches-jahrbuch-2014
0,1,0,1,"Kultur, Freizeit, Sport, Tourismus,Wirtschaft und Arbeit",gewerbliche-wirtschaft-statistisches-jahrbuch-2014
0,1,0,1,"Infrastruktur, Bauen und Wohnen",bau-und-wohnungswesen-statistisches-jahrbuch-2014
0,1,0,1,Bevölkerung,stadtevergleich-bw-kennzahlen-statistisches-jahrbuch-2014
0,1,0,1,Bevölkerung,ulm-und-umland-kennzahlen-statistisches-jahrbuch-2014
0,1,0,1,"Öffentliche Verwaltung, Haushalt und Steuern",steuern-und-finanzen-statistisches-jahrbuch-2014
